Year,WeekDay,Jul,Aug,Sep
2017,Sat,51.42572062,48.87829615,48.59966216
2017,Sun,50.61363636,49.96473552,52.03550296
2017,Mon,47.01793722,48.67696629,51.8358209
2017,Tue,55.57178218,50.15813953,50.67832168
2017,Wed,52.82520325,48.39821029,49.54126214
2017,Thu,51.99546485,50.91044776,55.06951872
2017,Fri,53.48232848,51.22284644,50.21568627
2018,Sat,48.60810277,41.5157121,53.2982906
2018,Sun,47.53329545,42.45445178,46.6913253
2018,Mon,46.91730205,43.01185089,55.05361757
2018,Tue,45.14059091,44.70477589,47.87696391
2018,Wed,47.04816415,42.8922156,49.3822
2018,Thu,51.88631579,38.89272093,48.59757869
2018,Fri,47.18021845,42.77216313,45.3500998
